w,l,nf,flavor,vd,mean_rel_error,vth_error,vth,ion,ioff,peak_gm
8e-07,9e-08,4,2,0.0,1.9999950541212146,0.4717378131569126,0.03177077080785955,4.882984e-07,1.1146680000000008e-07,9.322373333333331e-07
8e-07,3e-08,4,5,0.0,1.9999949957348173,0.35629992467238286,0.13776284429387725,5.428933e-07,1.0956910000000001e-07,
8e-07,4e-08,4,5,0.0,1.9999949957348173,0.35629992467238286,0.13776284429387725,5.428933e-07,1.0956910000000001e-07,
2e-07,3e-08,8,0,0.0,1.9999949400167214,0.2,0.3,4.127424e-07,1.020168e-07,
2e-07,4e-08,8,0,0.0,1.9999949400167214,0.2,0.3,4.127424e-07,1.020168e-07,
8e-07,6e-08,4,5,0.0,1.999994930123988,0.49182180355705224,0.0017802896814409065,5.044823e-07,1.0932609999999997e-07,7.273440000000001e-07
8e-07,4e-08,4,2,0.0,1.9999949209874577,0.19406276896626012,0.3,6.151738e-07,1.1058400000000005e-07,
8e-07,3e-08,4,2,0.0,1.9999949209874577,0.19406276896626012,0.3,6.151738e-07,1.1058400000000005e-07,
8e-07,9e-08,4,5,0.0,1.999994905657591,0.4822467181571173,0.02126186580765486,4.3960410000000004e-07,1.095977e-07,8.247696666666666e-07
8e-07,6e-08,2,4,0.0,1.9999947290178963,0.2561682028074,0.19970321829398235,4.048279e-07,1.1257620000000005e-07,6.436369999999999e-07
